2021-11-20,11:35,11:50,4/56 Belmont Road- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,2,15,-37.76687,145.033458,City of Banyule
2021-11-20,11:00,12:00,411B/56-58 Myrtle Street- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,19,60,-37.755836,145.0514185,City of Banyule
2021-11-20,10:00,10:30,296 Lower plenty rd- Rosanna,Rosanna,1,IGA Rosanna,Rent,8,30,-37.734957,145.0785613,City of Banyule
2021-11-20,13:15,13:30,805B/58 Myrtle Street- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,0,15,-37.755836,145.0514185,City of Banyule
2021-11-20,15:00,15:20,206a/56-58 Myrtle Street- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,3,20,-37.755836,145.0514185,City of Banyule
2021-11-20,09:55,10:10,7 Mundy Street- Watsonia,Watsonia,1,Andres IGA Watsonia,Rent,1,15,-37.70751,145.078437,City of Banyule
2021-11-20,09:45,10:00,1/25 Banksia Street- Eaglemont,Eaglemont,1,Woolworths Heidelberg,Rent,3,15,-37.758303,145.0591937,City of Banyule
2021-11-20,09:30,09:45,132 Valentine Street- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,3,15,-37.76124,145.0351519,City of Banyule
2021-11-20,12:15,12:30,1002/443 Upper Heidelberg Road- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,1,15,-37.76131,145.0504514,City of Banyule
2021-11-20,13:20,13:35,33 Louise Street- Heidelberg,Heidelberg,1,Woolworths Heidelberg,Rent,0,15,-37.750329,145.0762618,City of Banyule
2021-11-20,12:00,12:15,26 Alamein Road- Heidelberg West,Heidelberg West,1,Woolworths Northland,Rent,1,15,-37.735166,145.0426827,City of Banyule
2021-11-20,10:00,10:30,1+S/58 Myrtle Street- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,8,30,-37.755836,145.0514185,City of Banyule
2021-11-20,09:00,09:30,712B/58 Myrtle Street- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,15,30,-37.755836,145.0514185,City of Banyule
2021-11-20,12:15,12:30,2/30 Para Road- Lower Plenty,Lower Plenty,1,ALDI Lower Plenty,Rent,1,15,-37.726822,145.1132253,City of Banyule
2021-11-20,09:00,09:30,803B/58 Myrtle Street- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,15,30,-37.755836,145.0514185,City of Banyule
2021-11-20,12:55,13:10,303/1065 Heidelberg Road- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,3,15,-37.778129,145.036648,City of Banyule
2021-11-20,14:00,14:15,37/45 Rosanna Road- Heidelberg,Heidelberg,1,Woolworths Heidelberg,Rent,1,15,-37.75368,145.0699839,City of Banyule
2021-11-20,10:45,11:00,439 Lower Heidelberg Road- Eaglemont,Eaglemont,1,Woolworths Heidelberg,Rent,1,15,-37.759643,145.0689913,City of Banyule
2021-11-20,15:00,15:15,3/12 McNamara Street- Macleod,Macleod,1,IGA Xpress Macleod,Rent,1,15,-37.72916,145.068095,City of Banyule
2021-11-20,11:15,11:30,2/74 Darebin Street- Heidelberg,Heidelberg,1,Woolworths Heidelberg,Rent,2,15,-37.753721,145.0624988,City of Banyule
2021-11-20,09:00,09:15,1/36 Porter Road- Heidelberg Heights,Heidelberg Heights,1,Woolworths Heidelberg,Rent,6,15,-37.74016,145.0574271,City of Banyule
2021-11-20,12:55,13:10,98 Rosanna Road- Heidelberg,Heidelberg,1,Woolworths Heidelberg,Rent,3,15,-37.755746,145.0697645,City of Banyule
2021-11-20,11:40,11:55,1/21 Macleod Parade- Macleod,Macleod,1,IGA Xpress Macleod,Rent,1,15,-37.727758,145.0654069,City of Banyule
2021-11-20,15:50,16:05,4 Byron Court- Heidelberg Heights,Heidelberg Heights,1,Woolworths Heidelberg,Rent,0,15,-37.73921,145.0559267,City of Banyule
2021-11-20,11:15,11:25,301A/9-11 Martin Street- Heidelberg,Heidelberg,1,Woolworths Heidelberg,Rent,0,10,-37.752347,145.0601535,City of Banyule
2021-11-20,15:25,15:40,8/38-40 Lower Plenty Road- Rosanna,Rosanna,1,IGA Rosanna,Rent,0,15,-37.734957,145.0785613,City of Banyule
2021-11-20,13:00,13:15,7/18-20 Rosanna Road Road- Heidelberg,Heidelberg,3,Woolworths Heidelberg,Rent,2,15,-37.755746,145.0697645,City of Banyule
2021-11-20,11:20,11:30,10/9 Rotherwood Road- Ivanhoe,Ivanhoe,2,Woolworths Ivanhoe,Rent,0,10,-37.770246,145.0518127,City of Banyule
2021-11-20,09:00,09:15,21 Bartram Rise- Viewbank,Viewbank,1,ALDI Lower Plenty,Rent,6,15,-37.743431,145.0927164,City of Banyule
2021-11-20,09:40,09:55,161 Cape Street- Heidelberg,Heidelberg,1,Woolworths Heidelberg,Rent,0,15,-37.754272,145.0674918,City of Banyule
2021-11-20,13:00,13:15,76 Darebin Street- Heidelberg,Heidelberg,1,Woolworths Heidelberg,Rent,2,15,-37.753721,145.0624988,City of Banyule
2021-11-20,11:35,11:50,74 Jellicoe Street- Ivanhoe,Ivanhoe,1,Woolworths Ivanhoe,Rent,2,15,-37.75825,145.0397195,City of Banyule
